0	0.66	0.72	0.54	1
1	0.30	0.86	0.70	1
2	0.72	0.84	0.98	1
3	0.42	0.24	0.54	0
4	0.80	0.18	0.26	0
5	0.52	0.80	0.52	1
6	0.44	0.72	0.22	0
7	0.36	0.34	0.58	0
8	0.64	0.60	0.24	0
9	0.46	0.34	0.70	1
10	0.58	0.04	0.44	0
11	0.16	0.38	0.34	0
12	0.86	0.12	0.22	0
13	0.84	0.58	0.46	1
14	0.42	0.38	0.68	1
15	0.74	0.96	0.48	1
16	0.30	0.40	0.26	0
17	0.52	0.82	0.60	1
18	0.12	0.46	0.24	0
19	0.40	0.92	0.62	1
20	0.10	0.50	0.68	1
21	0.54	0.72	0.10	0
22	0.92	0.58	0.26	1
23	0.14	0.48	0.90	1
24	0.64	0.90	0.28	1
25	0.34	0.68	0.28	0
26	0.86	0.00	0.74	1
27	0.16	0.52	0.56	0
28	0.76	0.68	0.06	0
29	0.02	0.08	0.98	0
30	0.64	0.20	0.52	0
31	0.36	0.78	0.24	0
32	0.52	0.72	0.88	1
33	0.78	0.90	0.40	1
34	0.68	0.56	0.34	1
35	0.02	0.94	0.04	0
36	0.34	0.84	0.04	0
37	0.12	0.02	0.60	0
38	0.72	0.82	0.30	1
39	0.78	0.88	0.38	1
40	0.80	0.58	0.62	1
41	0.34	0.94	0.42	1
42	0.62	0.50	0.18	0
43	0.54	0.34	0.12	0
44	0.94	0.06	0.72	1
45	0.30	0.12	0.66	0
46	0.38	0.48	0.56	1
47	0.42	0.64	0.58	1
48	0.06	0.38	0.40	0
49	0.36	0.16	0.30	0
50	0.80	0.98	0.92	1
51	0.46	0.36	0.90	1
52	0.92	0.02	0.42	0
53	0.10	0.58	0.76	1
54	0.28	0.56	0.82	1
55	0.00	0.86	0.00	0
56	0.68	0.28	0.48	0
57	0.28	0.74	0.12	0
58	0.86	0.82	0.54	1
59	0.30	0.18	0.72	0
60	0.64	0.02	0.74	0
61	0.56	0.50	0.14	0
62	0.48	0.42	0.16	0
63	0.90	0.58	0.74	1
64	0.70	0.86	0.36	1
65	0.56	0.86	0.22	1
66	0.56	0.58	0.52	1
67	0.08	0.86	0.26	0
68	0.26	0.76	0.12	0
69	0.80	0.08	0.36	0
70	0.56	0.76	0.38	1
71	0.34	0.34	0.92	1
72	0.48	0.86	0.40	1
73	0.66	0.80	0.98	1
74	0.44	0.50	0.88	1
75	0.80	0.10	0.78	1
76	0.08	0.72	0.38	0
77	0.64	0.84	0.28	1
78	0.94	0.14	0.10	0
79	0.08	0.96	0.22	0
80	0.44	0.56	0.98	1
81	0.86	0.92	0.36	1
82	0.80	0.44	0.22	0
83	0.20	0.10	0.02	0
84	0.22	0.60	0.56	1
85	0.10	0.40	0.72	0
86	0.88	0.52	0.44	1
87	0.30	0.16	0.32	0
88	0.64	0.16	0.48	0
89	0.74	0.24	0.48	0
90	0.00	0.72	0.04	0
91	0.98	0.58	0.00	0
92	0.36	0.42	0.46	0
93	0.62	0.62	0.60	1
94	0.66	0.88	0.20	1
95	0.26	0.98	0.62	1
96	0.98	0.92	0.18	1
97	0.46	0.26	0.36	0
98	0.80	0.90	0.52	1
99	0.32	0.68	0.80	1
